chr	start	end
chr6_KI270758v1_alt	61073	61476
chr1_KI270761v1_alt	16104	16308
chr12_GL383550v2_alt	107024	107132
chr21_GL383580v2_alt	61132	61429
chr19_KI270933v1_alt	49036	49384
chr15_KI270849v1_alt	114333	114646
chr12_KI270835v1_alt	118374	118553
chr3_KI270895v1_alt	77236	77499
chr11_GL383547v1_alt	37746	38040
chr8_KI270819v1_alt	128087	128655
chr17_GL383565v1_alt	20203	20322
chr11_KI270927v1_alt	124765	125132
chr22_KI270879v1_alt	103963	105082
chr1_KI270892v1_alt	140195	140283
chr18_GL383571v1_alt	42710	42988
chr22_KI270731v1_random	114619	115182
chr10_KI270824v1_alt	160159	160744
chr20_KI270869v1_alt	109250	109450
chr17_GL000258v2_alt	802968	803301
chr17_GL000205v2_random	97815	98157
chr17_KI270910v1_alt	136175	136597
chr3_KI270895v1_alt	90068	90291
chr11_KI270832v1_alt	11035	11152
chr2_KI270894v1_alt	7926	8097
chr8_KI270900v1_alt	309533	309696
chr16_KI270854v1_alt	24161	25110
chr19_GL000209v2_alt	107755	108304
chr15_KI270852v1_alt	224257	224556
chr4_KI270786v1_alt	189913	190128
chr20_GL383577v2_alt	103474	104390
chr10_KI270825v1_alt	104121	104487
chr20_KI270870v1_alt	121456	121797
chr4_KI270789v1_alt	121286	121559
chr17_KI270860v1_alt	108368	108487
chr1_KI270708v1_random	52734	53708
chr14_KI270724v1_random	30935	31304
chr12_KI270836v1_alt	2619	2723
chr9_GL383542v1_alt	55761	59598
chr8_KI270821v1_alt	977540	977714
chr21_KI270874v1_alt	136499	136987
chr16	88119890	88120660
chr16_GL383556v1_alt	99612	100256
chr10_GL383545v1_alt	80728	81055
chr6_KI270802v1_alt	58788	59222
chr17_JH159148v1_alt	83265	83444
chr19_KI270914v1_alt	115304	115402
chr22_KI270733v1_random	57578	57929
chr19_KI270883v1_alt	104902	105283
chr18_KI270864v1_alt	8264	8513
chr7_KI270805v1_alt	117971	118192
chr22_KI270736v1_random	125508	125859
chr11_KI270830v1_alt	14371	14676
chr7_KI270805v1_alt	22603	23216
chr1_KI270712v1_random	3197	3490
chr11_KI270826v1_alt	175712	175872
chr6_GL383533v1_alt	6937	7082
chr8_KI270816v1_alt	49049	49153
chr7_KI270806v1_alt	113275	113477
chr13_KI270842v1_alt	12217	12334
chr14_KI270846v1_alt	642947	643069
chrX_KI270880v1_alt	76639	76830
chrX_KI270881v1_alt	62204	63192
chr1_KI270712v1_random	42758	42930
chr3_KI270895v1_alt	158977	159284
chr5_GL000208v1_random	35832	36220
chr3_KI270779v1_alt	13708	14004
chr22_GL383582v2_alt	104404	104558
chr15_KI270851v1_alt	100556	100850
chrX_KI270881v1_alt	38773	38895
chr8_KI270926v1_alt	140584	140726
chr5_KI270898v1_alt	58350	58543
chr4_KI270790v1_alt	74602	74950
chr1_KI270714v1_random	28946	29365
chr14_KI270847v1_alt	572126	572633
chr1_KI270707v1_random	20905	26728
chr8_KI270813v1_alt	71452	75460
chr19_GL383573v1_alt	81623	82781
chr3_KI270777v1_alt	127909	128562
chr17_GL383565v1_alt	28974	29207
chr3_KI270782v1_alt	133663	134118
chr1_KI270763v1_alt	98667	98995
chr19_KI270916v1_alt	90363	90568
chr22_KI270733v1_random	176727	177023
chr11_KI270827v1_alt	37697	38362
chr12_GL383550v2_alt	38640	38907
chr1_KI270713v1_random	6305	6711
chr12_KI270836v1_alt	32352	32488
chr7_KI270804v1_alt	109435	109738
chr1_KI270713v1_random	13899	14530
chr7_KI270809v1_alt	91519	97861
chr21_KI270872v1_alt	38045	38612
chr10_KI270825v1_alt	148609	148765
chr7_KI270803v1_alt	779554	779762
chr1_KI270759v1_alt	25586	26053
chr1_KI270766v1_alt	173478	173846
chr7_KI270899v1_alt	15860	16161
chr22_KI270736v1_random	170971	172451
chr8_KI270818v1_alt	20397	21122
chr1_KI270759v1_alt	183150	183389
chr21_KI270874v1_alt	129334	129456
chr11_KI270827v1_alt	7730	7948
chr9_GL383539v1_alt	40649	40813
chr10_GL383545v1_alt	50749	51143
chr1_KI270714v1_random	12732	13279
chr5_KI270795v1_alt	969	1169
chr3_KI270934v1_alt	121145	121391
chr5_KI270898v1_alt	19288	19568
chr5_KI270897v1_alt	892833	893030
chr10_GL383545v1_alt	71595	71809
chr11_KI270721v1_random	14337	14727
chr4_KI270786v1_alt	202881	203075
chr2_KI270773v1_alt	39452	39759
chr19_KI270889v1_alt	153040	154721
chr6_GL000250v2_alt	4036898	4037211
chr19_KI270885v1_alt	18699	28301
chr19_GL949747v2_alt	110149	110726
chr22_GL383583v2_alt	65841	66554
chr5_GL383531v1_alt	141557	149163
chr22_KI270731v1_random	28894	29588
chr1_KI270765v1_alt	96019	96219
chr6_GL000251v2_alt	2550347	2550695
chr3_KI270935v1_alt	184588	184923
chr9_KI270823v1_alt	395168	396030
chr17_JH159146v1_alt	190795	190885
chr19_KI270933v1_alt	8671	8997
chr2_GL582966v2_alt	70207	70387
chr17_KI270858v1_alt	206340	207054
chr13_KI270839v1_alt	126131	126324
chr6_KI270797v1_alt	105808	105939
chr4	130458487	130458993
chr3_KI270777v1_alt	49991	50422
chr15_KI270727v1_random	447808	448099
chr22_KI270732v1_random	27784	28637
chr19_KI270868v1_alt	31073	32994
chr15_GL383555v2_alt	116308	116551
chr21_KI270874v1_alt	24618	24980
chr17_GL383564v2_alt	35615	35974
chr3_KI270937v1_alt	1216	5495
chr14_GL000225v1_random	124374	125780
chr21_GL383578v2_alt	11390	11737
chr3_GL383526v1_alt	94756	95042
chr2_KI270770v1_alt	10292	10767
chr10_GL383545v1_alt	15278	15611
chr1_KI270710v1_random	26810	26979
chr17_KI270907v1_alt	110208	110654
chr22_KI270734v1_random	122863	123190
chr19_GL383574v1_alt	112129	112238
chr1_KI270713v1_random	12030	12342
chr17_KI270907v1_alt	10915	11016
chr17_KI270907v1_alt	56702	57093
chr16_GL383557v1_alt	28354	28972
chr3_KI270934v1_alt	32951	33066
chr14_KI270844v1_alt	73282	73707
chr13_KI270840v1_alt	44919	45222
chr22_KI270738v1_random	72065	72353
chr19_KI270933v1_alt	94786	95828
chr11_JH159136v1_alt	140508	141121
chr2_KI270776v1_alt	71881	87262
chr19_KI270930v1_alt	92431	92565
chr14_GL000009v2_random	14332	14432
chr21_GL383578v2_alt	47717	47969
chr17_KI270860v1_alt	122494	138008
chr8_KI270811v1_alt	77730	77900
chr5_KI270792v1_alt	155248	155387
chr12_GL383550v2_alt	35268	38944
chr2_KI270894v1_alt	97627	97899
chr19_KI270866v1_alt	17738	18010
chr16_GL383557v1_alt	46105	46280
chr15_GL383555v2_alt	135137	135313
chr11_KI270830v1_alt	65971	67732
chrX_KI270880v1_alt	51425	51678
chr11_JH159137v1_alt	144077	144576
chr4_KI270788v1_alt	52540	52828
chr11_KI270927v1_alt	188578	190131
chr13_KI270843v1_alt	84974	85074
chr19_KI270938v1_alt	233019	233634
chr6_KI270802v1_alt	15083	15273
chr13_KI270841v1_alt	116013	116342
chr3_KI270781v1_alt	29106	29672
chr2_GL383521v1_alt	74636	74968
chr17_KI270730v1_random	3257	3752
chr8_KI270814v1_alt	135583	135831
chr11_KI270832v1_alt	5423	6150
chr1_KI270710v1_random	6972	7344
chr3_KI270895v1_alt	109976	110068
chr5_KI270795v1_alt	114514	117054
chr3_KI270937v1_alt	91085	91458
chr2_KI270769v1_alt	6739	7489
chr3_KI270783v1_alt	54882	55168
chr17_JH159148v1_alt	33493	33799
chr14_KI270724v1_random	11045	11407
chr2_KI270776v1_alt	23171	23941
chr1_KI270709v1_random	20927	21039
chr7_KI270808v1_alt	202144	202507
chr9_GL383540v1_alt	1008	1293
chr19_GL949753v2_alt	414202	414400
chr19_GL383575v2_alt	52498	53764
chr3_KI270782v1_alt	74089	74330
chr11_KI270826v1_alt	152729	153243
chr22_GL383583v2_alt	17162	20065
chr19_KI270888v1_alt	91215	91563
chrM	10787	11119
chr3_KI270784v1_alt	136556	136853
chr3_KI270895v1_alt	62105	62466
chr6_GL000254v2_alt	924847	925068
chr13_KI270842v1_alt	11077	12166
chr17_KI270908v1_alt	167475	168163
chr1_KI270711v1_random	18753	19112
chr5_GL383532v1_alt	40944	41313
chr4_GL383528v1_alt	180724	181048
chr12_GL383553v2_alt	117893	118050
chr22_KI270737v1_random	97662	97819
chr11_JH159136v1_alt	130017	130082
chr17_KI270908v1_alt	1173880	1174173
chr8_KI270814v1_alt	35813	36189
chr20_KI270869v1_alt	24244	24957
chr10_KI270824v1_alt	43796	44013
chr19_KI270867v1_alt	9706	16277
chr1	740973	741971
chr7_KI270806v1_alt	73216	73333
chr19_GL949750v2_alt	8243	8419
chr12_KI270836v1_alt	26396	27967
chr6_KI270797v1_alt	7301	7412
chr22_KI270737v1_random	84723	84946
chr8_KI270818v1_alt	118169	118527
chr17_KI270909v1_alt	318148	318312
chr9_GL383539v1_alt	84707	85034
chr5_KI270792v1_alt	7316	7551
chr11_GL383547v1_alt	55129	55473
chr2_KI270771v1_alt	91722	92117
chr13_KI270840v1_alt	56307	57614
chr8_KI270811v1_alt	6774	7043
chr2_GL383522v1_alt	3005	11863
chr5_KI270795v1_alt	98702	98828
chr9_KI270719v1_random	33796	41263
chr17_GL383564v2_alt	113611	113743
chr17_KI270859v1_alt	32082	32246
chr8_KI270816v1_alt	207621	207761
chr3_KI270936v1_alt	85751	85935
chr6_GL383533v1_alt	44556	45144
chr11_KI270902v1_alt	98668	99141
chr12_KI270904v1_alt	488465	488821
chr1_KI270707v1_random	2224	2337
chr17_KI270858v1_alt	63608	63796
chr19_KI270917v1_alt	179597	179946
chr2_GL582966v2_alt	31383	31580
chr6_KI270758v1_alt	42038	42396
chr1_KI270712v1_random	36225	36571
chr7_KI270806v1_alt	22374	22568
chr9_GL383539v1_alt	88647	88947
chr11_KI270826v1_alt	49181	49516
chr19_KI270920v1_alt	128337	128628
chr1_GL383520v2_alt	122477	122670
