eccid	chr_hg19	start_hg19	end_hg19	tissue
ecc1	chr1	203673145	204659000	Brain
ecc2	chr7	54903890	55309726	Brain
ecc286197	chr20	25232985	25233246	Ovary
ecc420718	chr1	40604001	42089600	Breast
ecc420719	chr1	45885001	46557000	Breast cancer/Brain Met
ecc420720	chr1	98262001	98448000	Breast cancer/Brain Met
ecc420721	chr1	99930001	100454000	Breast cancer/Brain Met
ecc420726	chr1	145392400	148683801	Lung cancer/Brain Met
ecc420728	chr1	149529900	151908000	Lung cancer/Brain Met
ecc420731	chr1	203577001	204587600	Brain
ecc420733	chr1	224230001	234894000	Breast cancer/Brain Met
ecc420740	chr10	119370001	127544301	Breast cancer/Brain Met
ecc420742	chr11	18749001	20871000	Breast cancer/Brain Met
ecc420743	chr11	21476801	21630400	Breast
ecc420744	chr11	22214401	22483200	Breast
ecc420745	chr11	26724001	27189000	Breast cancer/Brain Met
ecc420746	chr11	29925001	37194000	Breast cancer/Brain Met
ecc420750	chr11	69066001	71784000	Breast cancer/Brain Met
ecc420760	chr12	1596001	1836800	Breast
ecc420761	chr12	3410401	3775200	Breast
ecc420762	chr12	5969601	6104000	Breast
ecc420763	chr12	6434401	6546400	Breast
ecc420764	chr12	11446401	12056800	Breast
ecc420766	chr12	16128001	17628800	Breast
ecc420778	chr13	82305601	88232200	Lung cancer/Brain Met
ecc420779	chr13	86011501	92829400	Brain
ecc420782	chr14	20292001	67329000	Lung cancer/Brain Met
ecc420789	chr16	46536001	54835200	Breast cancer/Brain Met
ecc420792	chr17	8175601	8348400	Breast cancer/Brain Met
ecc420793	chr17	9640801	10249200	Breast cancer/Brain Met
ecc420794	chr17	35007001	35232000	Breast cancer/Brain Met
ecc420795	chr17	36426800	38785200	Breast
ecc420796	chr17	36676001	39564000	Breast cancer/Brain Met
ecc420797	chr17	37151401	38632000	Lung cancer/Brain Met
ecc420801	chr17	45564001	63383000	Breast cancer/Brain Met
ecc420802	chr17	65497201	71682400	Breast
ecc420803	chr17	66456001	67158000	Breast cancer/Brain Met
ecc420804	chr17	73555401	74063600	Breast
ecc420805	chr18	55792801	57422400	Breast
ecc420808	chr19	56268001	57258000	Breast cancer/Brain Met
ecc420809	chr2	116492901	123265100	Brain
ecc420812	chr2	205084401	205816000	Breast cancer/Brain Met
ecc420814	chr2	213872401	214308000	Breast cancer/Brain Met
ecc420821	chr20	45100801	45424800	Breast cancer/Brain Met
ecc420822	chr20	47219201	57091600	Lung cancer/Brain Met
