chr	start	end
chr7	47260306	47261208
chr5	22459698	22459900
chr15	86533493	86533683
chr10	49448861	49449047
chr5	44648712	44648820
chr7	62311485	62312152
chr3	95594391	95594703
chr12	6521211	6521466
chr1	4169746	4169893
chr5	5637184	5637391
chr1	827824	828480
chr1	143758509	143759130
chr1	164696543	164696928
chr14	22456636	22458050
chr1	117706159	117706897
chr20	3575878	3577003
chr1	198867519	198876836
chr1	162903130	162903993
chr12	126242328	126242686
chr6	165628890	165629058
chr7	7465777	7465943
chr1	161828914	161829298
chr16	88964193	88964324
chr1	162472652	162472789
chr2	106775007	106775114
chr4	73906947	73907260
chr16	86277387	86277715
chr3	105499751	105500326
chr10	121733232	121733602
chr3	7591716	7592457
chr5	19267329	19268233
chr2	175831795	175831928
chr20	9011583	9011870
chr1	115973138	115973499
chr11	130148915	130149054
chr1	241793639	241796476
chr1	237925361	237929178
chr3	107273984	107275359
chr1	147124948	147125350
chr1	183967872	183967996
chr7	153524131	153524356
chr1	244711503	244711729
chr22	32044068	32044221
chr10	57317433	57317743
chr22	39697698	39699686
chr2	188276403	188276507
chr12	22082043	22082331
chr6	50905089	50905472
chr15	86578487	86578743
chr1	244801223	244801369
chr10	1549071	1549253
chr2	83900071	83900414
chr8	322252	323977
chr19	53566096	53566445
chr19	49341447	49341962
chr10	130012380	130013758
chr12	122058291	122058718
chr22	34438150	34439134
chr9	22675381	22675501
chr13	31230098	31230301
chr5	14025920	14026025
chr15	94226409	94229221
chr5	9973934	9974314
chr12	133327520	133328245
chr22	25252099	25252357
chr20	1295874	1296245
chr8	50570394	50570516
chr3	106391465	106391785
chr19	5785236	5785389
chr19	59018605	59018821
chr11	1105041	1105389
chr22	50046372	50046717
chr3	864229	864644
chr1	243626766	243627019
chr10	55050316	55059873
chr11	59546624	59547146
chr17	211977	212339
chr20	16035847	16036186
chr3	7487351	7487708
chr5	22716311	22716494
chr10	129726038	129726366
chr20	30214869	30215023
chr19	480076	480292
chr5	49784499	49784698
chr6	160560747	160560904
chr10	4263832	4270549
chr4	165636677	165636947
chr3	101344893	101345252
chr18	48877745	48878958
chr6	50175477	50176689
chr9	11563379	11564012
chr10	39133374	39134039
chr15	70931021	70931325
chr3	1523421	1523644
chr14	104350015	104350159
chr1	176113733	176113926
chr16	1430942	1431275
chr13	19342388	19343410
chr2	177227930	177228326
chr4	135120857	135121087
chr11	4860015	4860721
chr1	163345580	163345779
chr15	75245377	75246094
chr2	115231032	115231520
chr3	103375223	103375581
chr12	127923293	127925217
chr19	41615235	41615413
chr8	106824	107127
chr18	71906957	71907308
chr1	194414960	194418332
chrX	71433577	71434115
chr11	8799938	8800320
chr16	90082192	90082938
chr8	3331173	3331337
chrX	154207116	154207554
chr7	64281589	64281819
chr3	8026432	8026962
chr16	58283292	58283421
chr8	42879385	42880282
chrX	149950651	149950839
chr2	187051887	187052246
chr8	47967871	47967978
chr10	58581208	58589238
chr5	58714555	58714782
chr16	86135912	86136439
chr9	37508345	37508515
chr1	240239829	240241181
chr8	47110793	47113617
